HAVE_CRYPTO;HAVE_HASH;HAVE_REPLICATION;HAVE_VERIFY;HAVE_SEQUENCE;HAVE_STATISTICS;DIAGNOSTIC;PAGESIZE;PS1K;PS4K;PS8K;PS16K;PS32K;CACHESIZE;CS32MB;CS16MB;CS64MB;CS512MB;Performance
0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0.502896333333333
1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;2.03291538461538
1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;5.84551712820513
0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.478544333333333
1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7562264102564
1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7736278974359
0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.510615487179487
1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7249887435897
0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.499134230769231
1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7364329230769
1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.9054147631579
1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;10.9093486578947
1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7331582051282
0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0.748330868421053
1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;10.9013821081081
1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;10.7213274615385
1;0;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;10.729516
1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;3.23279905128205
1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;10.9074773947368
0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.482040052631579
1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;10.7529484473684
1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;10.7495611794872
0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.513024263157895
0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.498736763157895
1;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;10.7393972820513
1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;10.9025615641026
1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;3.21245651282051
1;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;10.9130264615385
1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;3.28526623076923
1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;10.8993860263158
0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0.362926205128205
1;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;10.7313448205128
1;0;1;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;10.7214467692308
0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0.749269076923077
1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;10.748161974359
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;2.07724035897436
1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;10.9305218421053
0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.485591615384615
0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.512697487179487
0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.497566230769231
0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.5044075
1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3.26088430769231
1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.25199935897436
1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7813827692308
1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7687952564103
1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7228596923077
1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7353604358974
1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.9280711282051
0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0.747544923076923
1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;10.9251428947368
1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;10.9213985897436
1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7379424102564
1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;10.7184006666667
1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;2.0421112051282
1;0;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;10.7534426486487
1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;10.9168642368421
0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.480289820512821
1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.25488656410256
0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.511676315789474
0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.498571641025641
1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;2.04363276923077
0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.534583358974359
0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0.748157871794872
1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.20970625641026
1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7515235128205
1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7632543243243
1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7563594054054
0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.527254487179487
1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.9128817948718
1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.22513902564103
