time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;1;0;1;0;0;0;0;0;0;245.936666666667
1;1;1;0;1;1;0;0;0;0;0;245.756666666667
1;1;0;0;0;0;0;0;0;0;0;234.68
1;1;1;0;0;0;0;1;0;0;0;242.916666666667
1;0;1;0;1;0;0;1;0;0;0;221.783333333333
1;0;1;0;1;1;0;1;0;0;0;222.896666666667
1;1;1;0;1;1;1;1;1;0;0;243.443333333333
1;1;1;0;1;1;1;1;1;1;0;247.166666666667
1;1;1;1;1;0;1;1;1;1;0;255.363333333333
1;1;1;0;1;1;1;1;1;1;1;255.43
