time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;0;0;0;0;0;0;0;0;1;0;210.34
1;0;1;0;0;0;0;0;0;1;0;216.403333333333
1;0;0;0;0;0;1;0;0;1;0;200.66
1;0;1;0;0;1;0;0;0;0;0;224.073333333333
1;0;1;0;1;0;0;0;0;0;0;234.08
1;1;1;0;0;0;0;0;0;0;0;232.7
1;0;1;0;0;0;0;0;0;0;1;257.333333333333
1;0;1;0;0;0;1;0;0;0;0;222.433333333333
1;0;0;0;0;1;1;0;0;0;0;205.206666666667
1;0;0;0;1;0;1;0;0;0;0;207.233333333333
1;1;0;0;0;0;1;0;0;0;0;229.166666666667
1;1;0;0;1;1;1;0;0;1;0;227.64
1;0;0;0;0;0;1;0;0;0;1;217.396666666667
1;0;0;0;0;0;0;0;0;0;0;210.44
1;1;0;0;0;0;0;0;0;0;0;234.68
1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;0;0;1;0;0;0;0;0;0;0;208.92
1;0;0;0;1;0;0;0;0;0;0;208.046666666667
1;0;0;0;0;1;0;0;0;0;0;206.9
1;0;0;0;0;0;1;0;0;0;0;204.986666666667
1;0;0;0;0;0;0;1;0;0;0;204.053333333333
1;0;0;0;0;0;0;0;1;0;0;201.153333333333
1;0;0;0;0;0;0;0;0;0;1;258.826666666667
1;1;0;1;0;1;1;1;0;1;1;248.063333333333
1;0;1;1;1;1;1;0;0;0;0;224.506666666667
1;1;1;1;1;1;0;1;1;0;1;262.94
1;0;0;0;1;1;0;1;0;1;0;201.973333333333
1;1;1;1;1;0;0;0;0;0;0;243.783333333333
1;0;1;1;0;1;0;0;0;0;1;252.266666666667
1;1;0;1;1;1;0;1;1;1;1;253.74
1;0;0;0;0;1;1;1;0;0;0;203.19
1;1;1;1;0;1;1;1;0;0;1;264.926666666667
1;1;0;1;1;0;1;0;1;1;1;253.82
1;1;1;0;0;0;0;1;0;0;0;242.916666666667
1;1;0;0;0;1;1;0;1;1;1;237.506666666667
1;1;0;1;0;1;1;1;1;0;1;250.04
1;1;0;0;1;0;1;1;0;1;0;224.296666666667
1;0;1;1;0;0;0;0;0;0;0;224.95
1;0;1;0;0;0;0;1;0;0;0;221.376666666667
1;0;1;0;0;0;0;0;1;0;0;218.816666666667
1;0;0;1;0;0;1;0;0;0;0;214.72
1;0;0;0;0;0;1;0;1;0;0;203.636666666667
1;0;1;1;1;1;0;1;1;1;1;248.583333333333
1;1;1;1;1;1;0;1;0;0;1;267.593333333333
1;1;1;1;1;1;0;1;0;1;1;260.693333333333
1;1;1;1;1;1;0;0;1;1;1;263.82
1;1;1;1;1;1;0;1;1;1;1;267.51
1;0;1;1;1;1;1;0;0;0;1;268.55
1;1;1;1;1;1;1;0;1;0;1;263.586666666667
1;1;1;1;1;1;1;0;1;1;1;269.47
1;0;1;1;1;1;1;1;0;0;1;269.47
1;1;1;1;1;1;1;1;0;1;1;262.113333333333
1;0;1;1;1;1;1;1;1;0;1;267.173333333333
1;1;1;1;1;1;1;1;1;0;1;252.446666666667
1;0;1;1;1;1;1;1;1;1;1;265.816666666667
1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;0;0;1;0;1;1;0;0;1;0;212.443333333333
1;0;0;1;0;1;1;0;1;0;0;214.38
1;0;0;1;0;1;1;1;0;0;0;218.233333333333
1;0;1;0;0;1;0;1;0;0;0;224.176666666667
1;0;1;1;0;0;0;0;0;1;0;224.49
1;0;1;1;0;0;0;0;1;0;0;227.013333333333
1;0;1;1;0;0;0;1;0;0;0;229.276666666667
1;0;1;1;0;1;0;0;0;0;0;230.536666666667
1;0;1;1;0;1;0;0;0;1;0;226.13
1;0;1;1;0;1;0;1;0;0;0;228.653333333333
1;0;1;1;0;1;0;0;1;0;0;228.466666666667
1;0;1;1;0;0;1;0;0;0;0;232.116666666667
1;0;1;1;0;1;1;0;0;0;0;231.39
1;0;1;1;1;0;0;0;0;0;0;224.326666666667
1;0;1;1;1;0;0;1;1;1;0;231.686666666667
1;0;1;0;1;1;0;1;1;1;0;220.976666666667
1;0;1;1;1;1;0;0;0;0;0;223.773333333333
1;0;1;1;1;1;1;0;1;1;0;231.326666666667
1;0;1;1;1;1;1;1;0;0;0;222.626666666667
1;0;1;1;1;1;1;1;1;0;0;223.52
1;0;1;1;1;1;1;1;1;1;0;225.156666666667
1;0;0;0;0;1;0;1;0;1;0;201.47
1;1;0;0;0;0;0;1;0;1;0;224.733333333333
1;0;0;0;0;1;1;1;0;1;0;203.19
1;1;0;0;0;1;1;0;1;1;0;229.243333333333
1;1;0;0;0;1;0;1;0;0;0;231.336666666667
1;1;0;0;0;1;1;1;0;0;0;227.443333333333
1;0;0;0;0;1;0;1;1;0;0;204.963333333333
1;1;0;0;1;0;0;1;1;0;0;222.556666666667
1;1;0;0;1;0;0;1;0;1;0;225.686666666667
1;1;0;0;1;1;0;1;0;0;0;227.94
1;0;0;0;0;1;1;1;1;0;0;204.73
1;1;0;0;1;1;0;1;1;1;0;230.313333333333
1;0;0;0;0;1;1;1;1;1;0;206.35
1;1;1;0;1;0;0;1;1;1;0;242.856666666667
1;1;1;0;1;1;0;1;0;1;0;240.21
1;1;1;0;1;1;1;0;1;1;0;246.16
1;0;0;0;1;0;0;1;1;1;0;202.69
1;1;0;1;0;1;1;0;0;0;0;240.233333333333
1;1;0;1;0;1;1;1;1;1;0;241.57
1;1;1;1;0;0;0;0;0;0;0;244.03
1;1;1;1;0;0;0;1;1;1;0;250.62
1;0;0;0;1;1;0;1;0;0;0;202.936666666667
1;1;1;1;0;1;1;1;0;1;0;249.343333333333
1;1;1;1;0;1;1;1;1;1;0;256.183333333333
1;0;0;0;1;1;0;1;1;0;0;204.293333333333
1;1;1;1;1;0;1;0;0;0;0;254.336666666667
1;1;1;1;1;0;1;1;0;0;0;252.06
1;1;1;1;1;0;1;1;1;0;0;250.493333333333
1;1;1;1;1;0;1;1;1;1;0;255.363333333333
1;1;1;1;1;1;0;1;1;1;0;255.873333333333
1;1;1;1;1;1;1;0;0;1;0;253.1
1;1;1;1;1;1;1;1;0;0;0;241.693333333333
1;1;1;1;1;1;1;1;1;0;0;240.543333333333
1;1;0;1;1;1;1;1;1;1;0;254.243333333333
1;1;1;1;1;1;1;1;1;1;0;245.343333333333
1;0;0;0;0;1;1;0;1;1;1;216.23
1;0;0;0;0;1;0;1;0;0;1;219.306666666667
1;0;0;0;0;1;1;1;0;0;1;215.483333333333
1;0;0;0;0;1;0;1;1;1;1;219.37
1;0;0;0;0;1;1;1;1;1;1;218.586666666667
1;0;0;0;1;0;0;1;1;0;1;213.996666666667
1;0;0;0;1;1;0;1;0;0;1;215.02
1;0;0;0;1;1;1;0;1;1;0;204.96
1;0;0;0;1;1;0;1;1;1;1;218.503333333333
1;0;0;0;1;1;1;1;0;0;0;204.513333333333
1;0;0;0;1;1;1;1;0;1;0;203.856666666667
1;0;0;1;0;1;0;0;1;1;1;263.13
1;0;0;1;0;1;0;1;1;0;1;259.383333333333
1;0;0;1;0;1;1;0;0;0;1;265.69
1;0;0;1;0;1;1;0;1;1;1;265.4
1;1;0;0;0;0;0;1;0;0;1;236.21
1;1;0;0;0;1;0;0;1;1;1;234.006666666667
1;1;0;0;0;1;0;1;1;1;1;236.586666666667
1;1;0;1;0;1;0;0;1;0;1;250.26
1;1;0;1;0;1;0;1;1;1;1;252.746666666667
1;1;0;1;0;1;1;0;1;0;1;248.603333333333
