level9;disableCompressibilityTesting;compression;level;level5;encryption;level2;unlimitedWindowSize;level1;compressionLrzip;level3;level4;compressionBzip2;level6;level7;level8;compressionLzo;root;compressionZpaq;compressionGzip;Performance
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;45770.0
0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;41150.0
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;41790.0
0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;42300.0
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43560.0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;44370.0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;46950.0
0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;43680.0
1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;45980.0
1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;59650.0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;45270.0
0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;41260.0
0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;49760.0
0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;42910.0
0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;53200.0
0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;44600.0
0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;41830.0
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;56980.0
0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;41900.0
0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;40550.0
0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;56570.0
0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;44110.0
0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;43550.0
0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;53500.0
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43660.0
0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;47130.0
0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;61280.0
0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;46710.0
0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;43330.0
0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;56430.0
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;48150.0
