root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;268.72
1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;267.853333333333
1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;604.746666666667
1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;612.643333333333
1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;511.153333333333
1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;721.563333333333
1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;587.773333333333
1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;741.59
1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;616.62
1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;260.41
1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;270.656666666667
1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;275.92
1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;270.07
1;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;278.196666666667
1;1;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;277.813333333333
1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;262.563333333333
1;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;268.786666666667
1;1;0;1;1;0;0;0;0;1;0;1;0;1;1;0;0;262.233333333333
1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;270.706666666667
1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;270.153333333333
1;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;262.566666666667
1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;278.12
1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;270.66
1;1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;270.136666666667
1;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;278.226666666667
1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;270.726666666667
1;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;262.653333333333
1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;256.726666666667
1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;256.333333333333
1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;263.436666666667
1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;246.486666666667
1;1;1;0;0;0;0;1;0;1;0;1;0;1;1;0;0;256.82
1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;268.773333333333
1;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;256.666666666667
1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;268.17
1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;276.03
1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;305.456666666667
1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;305.173333333333
1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;310.696666666667
1;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;295.49
1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;268.016666666667
1;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;305.443333333333
1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;287.05
1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;268.603333333333
1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;305.503333333333
1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;260.48
1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;271.966666666667
1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;279.356666666667
1;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;263.823333333333
1;1;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;269.916666666667
1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;272.003333333333
1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;263.643333333333
