Run;Error
1;19.2716094111921
2;44.2884912576679
3;24.3095540197153
4;38.4438792144305
5;19.255071638104
6;16.5435627586953
7;19.1645914659174
8;18.2227313123118
9;18.2294338534298
10;19.302624266941
11;17.6913511776644
12;58.5870143633813
18;26.8521501627333
19;19.2833684739737
20;20.3315117186377
21;18.7942487605162
22;17.9831548593123
23;19.7479525619628
24;19.2442231157747
25;19.961274610376
26;16.9435680765776
27;17.788953162538
28;19.992666940538
29;60.880869458023
35;16.7284031033505
36;19.618967759718
37;28.9418270858367
38;21.5547979390266
39;17.9870023914176
40;16.6570957970532
41;21.369721306188
42;15.4580581067585
43;18.6181407627341
44;19.2911727099453
45;22.4294774349681
46;18.678777391272
52;19.7254760459657
53;16.8880572973552
54;19.8520866439965
55;21.5465367370884
56;17.9061923278666
57;18.3241974475251
58;17.8941793345955
59;15.6900367572417
60;17.8261855803589
61;18.8303640459864
62;19.0715834150413
63;19.7927478156736
89;22.2480215857066
90;15.6589939664866
91;18.4516967159851
92;15.0238810699697
