Run;Error
1;492.056879526339
2;171.48160794202
3;833.059566153321
4;235.453425144901
5;189.81410455864
6;516.308599009918
7;460.332622577459
8;212.598360498067
9;380.00862810804
10;231.880521090237
11;385.132989806248
12;402.583646653495
13;445.194966080747
14;418.978931788566
15;237.099167157809
16;384.929599281325
17;342.916451641071
18;412.882512223709
19;501.594761247545
20;397.933116309201
21;419.42057069549
22;489.80292223532
23;868.331693811405
24;148.695448260479
25;461.610633336195
26;390.849114761091
27;172.756360402704
28;434.181397465979
29;472.844278295758
30;433.235993803389
31;279.612309982342
32;426.356596327988
33;240.216078389681
34;239.71587277467
35;441.363308831217
36;250.110717484569
37;276.233935692968
38;456.383435470228
39;370.176340298925
40;425.096793397616
41;215.078995853132
42;446.263388534924
43;419.075439198924
44;220.154022417241
45;495.765184547141
46;375.047441109146
47;371.8853621489
48;602.392004523834
49;383.286755045708
50;194.981404645109
51;125.681016532972
52;493.710873519008
53;443.765901182041
54;207.861392226348
55;362.319911563094
56;503.906609437755
57;163.37391283985
58;262.266596716946
59;483.81209981542
60;161.512827442881
61;456.551080840555
62;395.024169747148
63;1066.3645530503
64;348.297559154744
65;368.344815995751
66;389.573904774461
67;122.33888103961
68;476.33884070376
69;363.245177112912
70;412.383116032429
71;429.496582309825
72;202.240712399838
73;1070.2077152485
74;462.732156556217
75;447.469447691895
76;511.958931168358
77;416.645606959191
78;493.84006858419
79;139.376889020621
80;453.483608975201
81;340.153860599863
82;457.213431186871
83;484.763857774947
84;476.654714308822
85;493.08258461738
86;439.51192614548
87;524.01855707299
88;172.174410614273
89;201.219954355638
90;503.203101881987
91;424.672106402339
92;211.869129942322
93;150.867583674412
94;516.359937416398
95;446.666385770074
96;382.548546847283
97;426.822644033164
98;329.146432741626
99;419.262423568738
100;206.829459125413
