time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;0;0;0;0;0;0;0;0;1;0;210.34
1;1;0;0;1;1;0;0;0;0;0;229.856666666667
1;0;0;0;0;1;0;0;0;0;1;219.496666666667
1;0;1;0;0;1;0;0;0;0;0;224.073333333333
1;0;1;0;1;1;0;0;0;0;0;233.276666666667
1;1;1;0;1;0;0;0;0;0;0;245.936666666667
1;1;1;0;0;1;0;0;0;0;0;246.756666666667
1;0;1;0;0;0;0;0;0;0;1;257.333333333333
1;1;1;0;0;1;0;0;0;0;1;255.213333333333
1;0;1;0;1;1;0;0;0;0;1;235.91
1;0;0;0;0;1;1;0;0;0;0;205.206666666667
1;0;0;0;0;0;1;0;0;0;1;217.396666666667
1;0;1;0;1;1;1;0;0;0;1;236.433333333333
1;1;1;0;1;1;1;0;0;0;1;254.496666666667
1;0;0;0;0;0;0;0;0;0;0;210.44
1;1;0;0;0;0;0;0;0;0;0;234.68
1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;0;0;1;0;0;0;0;0;0;0;208.92
1;0;0;0;1;0;0;0;0;0;0;208.046666666667
1;0;0;0;0;1;0;0;0;0;0;206.9
1;0;0;0;0;0;1;0;0;0;0;204.986666666667
1;0;0;0;0;0;0;1;0;0;0;204.053333333333
1;0;0;0;0;0;0;0;1;0;0;201.153333333333
1;0;0;0;0;0;0;0;0;0;1;258.826666666667
1;0;1;1;1;1;1;0;0;0;0;224.506666666667
1;0;1;1;0;1;0;0;0;0;1;252.266666666667
1;1;1;1;0;1;1;0;1;1;0;255.47
1;1;0;1;1;1;0;1;1;1;1;253.74
1;0;0;1;1;0;0;1;0;0;1;264.736666666667
1;1;1;0;0;0;0;1;0;0;0;242.916666666667
1;0;0;0;0;0;0;1;0;0;1;216.636666666667
1;0;1;1;0;0;0;0;0;0;0;224.95
1;0;1;0;0;0;0;1;0;0;0;221.376666666667
1;0;1;0;0;0;0;0;1;0;0;218.816666666667
1;0;0;1;0;1;0;0;0;0;0;218.153333333333
1;0;0;1;0;0;1;0;0;0;0;214.72
1;0;0;1;0;0;0;1;0;0;0;213.183333333333
1;0;0;1;0;0;0;0;1;0;0;209.703333333333
1;0;0;1;0;0;0;0;0;0;1;220.866666666667
1;0;0;0;0;1;0;1;0;0;0;207.12
1;0;0;0;0;1;0;0;1;0;0;201.833333333333
1;0;0;0;0;0;1;1;0;0;0;202.386666666667
1;0;0;0;0;0;1;0;1;0;0;203.636666666667
1;0;0;0;0;0;0;1;1;0;0;199.953333333333
1;0;0;0;0;0;0;0;1;0;1;213.266666666667
1;1;1;1;1;1;0;0;0;0;1;251.803333333333
1;1;1;1;1;1;0;1;1;1;1;267.51
1;0;1;1;1;1;1;0;0;0;1;268.55
1;0;0;1;0;1;0;1;0;0;0;214.886666666667
1;1;1;1;1;1;1;0;1;1;1;269.47
1;1;1;1;1;1;1;1;0;1;1;262.113333333333
1;1;1;1;1;1;1;1;1;0;1;252.446666666667
1;0;1;1;1;1;1;1;1;1;1;265.816666666667
1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;0;0;1;1;1;0;0;0;0;0;216.373333333333
1;0;0;1;1;1;0;1;0;0;0;212.713333333333
1;0;0;1;1;1;1;0;1;0;0;213.406666666667
1;0;0;1;1;1;1;1;1;1;0;218.623333333333
1;0;1;0;0;1;0;1;0;0;0;224.176666666667
1;0;1;1;0;0;0;1;0;0;0;229.276666666667
1;0;1;1;0;1;0;0;0;0;0;230.536666666667
