time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;0;1;0;0;0;0;0;0;1;0;216.403333333333
1;0;0;0;1;0;0;0;0;1;0;199.683333333333
1;0;0;0;0;0;0;0;1;1;0;202.233333333333
1;0;1;0;1;0;0;0;0;0;0;234.08
1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;1;0;1;1;0;0;0;0;0;245.756666666667
1;1;1;0;1;0;0;0;0;0;1;254.34
1;0;1;0;0;0;1;0;0;0;0;222.433333333333
1;0;0;0;0;1;1;0;0;0;0;205.206666666667
1;0;1;0;0;1;1;0;0;0;0;222.52
1;0;1;0;1;0;1;0;0;0;0;222.823333333333
1;1;0;0;0;0;1;0;0;0;0;229.166666666667
1;0;1;0;0;0;1;0;0;0;1;234.866666666667
1;0;1;0;0;1;1;0;0;0;1;234.42
1;1;1;0;0;0;1;0;0;0;1;252.836666666667
1;0;0;0;0;0;0;0;0;0;0;210.44
1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;0;0;0;0;0;1;0;0;0;0;204.986666666667
1;0;0;0;0;0;0;1;0;0;0;204.053333333333
1;1;1;0;0;0;1;1;1;0;0;241.016666666667
1;1;0;0;0;0;0;1;1;0;0;221.333333333333
1;1;1;1;1;0;0;0;0;0;0;243.783333333333
1;1;0;1;0;1;1;1;0;0;1;250.566666666667
1;1;1;1;0;1;0;0;1;0;1;264.47
1;1;1;0;0;0;0;0;1;1;1;248.69
1;0;0;0;0;1;1;1;0;0;0;203.19
1;0;1;1;1;1;0;1;1;0;0;229.68
1;0;1;0;1;1;0;1;1;0;0;219.076666666667
1;1;0;1;0;1;0;1;0;0;1;251.906666666667
1;1;1;0;0;0;0;1;0;0;0;242.916666666667
1;1;0;1;0;1;1;1;1;0;1;250.04
1;1;0;0;0;0;0;0;1;0;0;224.43
1;0;1;1;0;0;0;0;0;0;0;224.95
1;0;1;0;0;0;0;1;0;0;0;221.376666666667
1;0;0;1;1;0;0;0;0;0;0;217.29
1;0;0;0;1;0;0;1;0;0;0;204.686666666667
1;0;0;0;1;0;0;0;1;0;0;201.546666666667
1;0;0;0;0;0;1;0;1;0;0;203.636666666667
1;0;0;1;0;1;1;0;1;0;0;214.38
1;0;0;1;1;1;1;0;0;0;0;217.466666666667
1;0;0;1;0;1;1;1;0;0;0;218.233333333333
1;0;0;1;1;1;1;1;0;0;0;214.48
1;0;0;1;0;1;1;1;1;0;0;215.47
1;0;0;1;1;1;1;1;1;0;0;217.293333333333
1;0;1;0;0;0;0;0;1;1;0;219.283333333333
1;0;1;0;0;0;0;1;1;0;0;217.286666666667
1;0;1;0;0;0;1;1;0;0;0;220.423333333333
1;0;1;0;0;0;1;0;1;0;0;221.166666666667
1;0;1;0;0;1;0;0;1;0;0;219.966666666667
1;0;1;0;0;1;1;0;1;0;0;219.333333333333
1;0;1;0;0;1;1;1;0;0;0;220.573333333333
1;0;1;1;0;0;0;0;0;1;0;224.49
1;0;1;1;0;1;0;1;0;0;0;228.653333333333
1;0;1;1;0;0;1;0;0;0;0;232.116666666667
1;0;1;1;0;1;1;0;0;0;0;231.39
1;0;1;1;0;0;1;1;0;0;0;232.76
1;0;1;1;0;1;1;1;0;0;0;229.123333333333
1;0;1;1;0;1;1;1;1;0;0;230.943333333333
1;0;1;0;1;0;1;1;0;0;0;221.056666666667
1;0;1;0;1;0;1;1;0;1;0;219.626666666667
1;0;1;0;1;0;1;0;1;0;0;221.623333333333
