time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;0;0;0;0;0;0;0;0;1;0;210.34
1;0;1;0;0;0;0;0;0;1;0;216.403333333333
1;0;0;0;0;0;0;1;0;1;0;203.18
1;1;0;0;1;0;0;0;0;0;1;256.223333333333
1;1;0;0;1;1;0;0;0;1;0;223.013333333333
1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;1;0;1;1;0;0;0;0;0;245.756666666667
1;0;1;0;1;1;0;0;0;1;0;218.123333333333
1;1;1;0;0;1;0;0;0;1;0;238.733333333333
1;1;0;0;0;0;1;0;0;0;0;229.166666666667
1;0;0;0;0;0;1;0;0;0;1;217.396666666667
1;0;0;0;1;0;1;0;0;0;1;219.313333333333
1;0;0;0;0;0;0;0;0;0;0;210.44
1;0;0;0;0;1;0;0;0;0;0;206.9
1;0;0;0;0;0;0;0;0;0;1;258.826666666667
1;1;0;0;0;0;0;1;1;0;0;221.333333333333
1;1;1;1;1;0;0;0;0;0;0;243.783333333333
1;0;1;1;1;1;1;0;0;1;0;231.77
1;0;1;0;1;1;1;0;1;1;1;235.78
1;0;1;0;0;0;0;1;0;0;0;221.376666666667
1;1;1;1;1;1;0;1;1;1;1;267.51
1;0;1;1;1;1;1;0;0;1;1;249.343333333333
1;1;1;1;1;1;1;0;1;0;1;263.586666666667
1;1;1;1;1;1;1;0;1;1;1;269.47
1;0;1;1;1;1;1;1;0;0;1;269.47
1;1;1;1;1;1;1;1;0;1;1;262.113333333333
1;0;1;1;1;1;1;1;1;1;1;265.816666666667
1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;0;0;1;1;1;0;0;0;1;0;210.506666666667
1;0;0;1;0;1;1;1;1;0;0;215.47
1;0;1;0;0;0;1;1;1;1;0;223.296666666667
1;0;1;1;0;0;0;0;1;1;0;227.4
1;0;1;1;0;1;0;0;1;0;0;228.466666666667
1;0;1;1;1;0;0;0;1;0;0;227.75
1;0;1;1;1;0;1;1;0;1;0;227.99
1;0;1;1;1;1;0;0;1;0;0;228.973333333333
1;1;1;0;0;0;0;1;1;1;0;241.7
1;0;0;0;1;0;0;1;1;0;0;200.82
1;1;0;1;0;0;0;1;0;0;0;238.62
1;1;1;1;1;1;1;0;1;1;0;257.17
1;1;1;1;1;1;1;1;1;0;0;240.543333333333
1;1;1;1;1;1;1;1;1;1;0;245.343333333333
1;0;0;0;1;0;1;1;0;0;0;207.89
1;0;0;1;0;1;1;1;0;1;1;261.896666666667
1;1;0;0;0;0;0;1;0;0;1;236.21
1;1;0;0;0;0;1;1;1;0;1;234.053333333333
1;1;0;1;0;0;0;1;1;0;1;243.806666666667
1;1;0;1;1;1;1;0;1;1;1;255.423333333333
1;0;1;0;0;0;1;1;1;0;1;235.163333333333
1;1;1;0;0;0;1;1;0;0;1;251.74
1;1;1;0;1;1;1;0;1;1;1;254.42
1;0;1;1;0;0;0;0;0;0;1;256.246666666667
1;1;1;1;1;0;1;0;1;1;1;268.41
1;1;1;1;1;0;1;1;1;1;1;267.316666666667
1;0;1;1;1;1;0;1;1;0;1;247.31
