no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;268.72
1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;267.853333333333
1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;775.68
1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;651.2
1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;1;556.34
1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;555.18
1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;644.033333333333
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;576.276666666667
1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;731.216666666667
1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;817.34
1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;1;807
1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;666.493333333333
1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;1;645.303333333333
1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;607.536666666667
1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;616.086666666667
1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;510.183333333333
1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;726.79
1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;1;715.906666666667
1;0;1;1;0;1;1;1;1;0;1;0;1;0;0;1;575.396666666667
1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;744.893333333333
1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;744.26
1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;671.5
1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;590.18
1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;555.26
1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;643.983333333333
1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;244.28
1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;276.026666666667
1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;275.47
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;279.266666666667
1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;270.656666666667
1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;270.07
1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;262.563333333333
