no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;268.72
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;270.656666666667
1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;271.966666666667
1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;260.266666666667
1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;442.25
1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;254.586666666667
1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;244.39
1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;423.076666666667
1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;611.043333333333
1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;602.713333333333
1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;585.35
