no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;268.72
1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;644.033333333333
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;249.44
1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;581.513333333333
1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;731.353333333333
1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;705.396666666667
1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;773.386666666667
1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;275.416666666667
1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;645.54
1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;1;645.303333333333
1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;607.536666666667
1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;279.753333333333
1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;744.893333333333
1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;733.776666666667
1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;291.043333333333
1;0;1;1;1;1;0;0;1;0;1;0;1;0;0;1;809.97
1;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;665.293333333333
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;279.153333333333
1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;665.23
1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;590.18
1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;583.526666666667
1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;715.25
1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;706.833333333333
1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;609.2
1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;608.68
1;1;1;1;0;1;0;0;1;0;1;0;1;0;0;1;683.763333333333
1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;783.876666666667
1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;775.663333333333
1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;775.54
1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;555.613333333333
1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;651.49
1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;644.356666666667
1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;651.286666666667
1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;555.26
1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;643.983333333333
1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;290.916666666667
1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;275.47
1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;279.81
1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;249.41
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;279.266666666667
1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;270.656666666667
1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;262.563333333333
1;0;1;1;0;0;0;0;1;0;1;0;1;1;0;0;262.233333333333
1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;268.396666666667
1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;270.706666666667
1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;270.66
1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;256.726666666667
1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;256.333333333333
1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;0;262.793333333333
1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;246.486666666667
1;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;251.87
1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;246.4
1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;251.573333333333
1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;268.773333333333
1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;251.636666666667
1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;305.456666666667
1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;310.286666666667
1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;299.706666666667
1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;286.426666666667
