no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;1;773.463333333333
1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;783.783333333333
1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;690.39
1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;645.51
1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;561.933333333333
1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;644.16
1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;555.18
1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;644.033333333333
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;604.746666666667
1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;510.856666666667
1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;581.513333333333
1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;680.556666666667
1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;705.396666666667
1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;610.686666666667
1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;773.386666666667
1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;652.653333333333
1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;1;508.003333333333
1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;744.893333333333
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;279.153333333333
1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;590.18
1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;583.526666666667
1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;492.13
1;1;1;1;0;1;0;0;1;0;1;0;1;0;0;1;683.763333333333
1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;643.983333333333
1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;0;244.333333333333
1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;275.92
1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;268.396666666667
1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;0;262.793333333333
1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;246.4
1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;268.773333333333
1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;0;246.273333333333
1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;246.236666666667
1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;251.786666666667
1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;251.86
1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;251.636666666667
1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;305.456666666667
1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;310.286666666667
1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;268.016666666667
1;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;275.69
1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;275.956666666667
1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;299.75
1;1;1;1;0;1;1;0;1;0;1;0;1;1;0;0;275.523333333333
1;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;291.673333333333
1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;286.336666666667
1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;276.01
1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;275.406666666667
1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;271.966666666667
1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;272.053333333333
1;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;263.886666666667
1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0;263.753333333333
1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;0;295.62
1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;310.673333333333
1;0;1;0;1;1;1;0;1;0;0;1;1;1;0;0;299.89
1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;305.5
1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;310.673333333333
1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;279.036666666667
1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;271.38
1;0;0;1;0;1;0;1;1;0;0;1;1;1;0;0;305.146666666667
1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;295.413333333333
1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;269.493333333333
1;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;266.273333333333
1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;257.973333333333
1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;247.73
1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;305.4
1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;264.38
1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;253.08
1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;247.666666666667
1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;247.516666666667
1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;310.58
1;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;287.106666666667
1;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;286.353333333333
1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;291.056666666667
1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;275.453333333333
1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;295.47
1;1;0;1;0;1;1;0;1;0;0;1;1;1;0;0;286.47
1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;279.13
1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;279.926666666667
1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;0;509.273333333333
1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;299.636666666667
1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;382.12
1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;305.26
1;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;379.4
1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;444.38
1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;0;427.753333333333
1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;482.876666666667
1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;476.913333333333
1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;476.33
1;0;0;0;1;1;0;1;1;0;1;0;1;0;1;0;571.31
1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;573.4
1;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;433.153333333333
1;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;432.796666666667
1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;482.04
1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;427.476666666667
1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;564.03
1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;476.126666666667
1;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;495.1
1;1;1;0;1;0;0;0;1;0;1;0;1;0;1;0;486.636666666667
1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;0;487.056666666667
1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;543.463333333333
1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;544.74
1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;487.01
1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;299.636666666667
1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;305.283333333333
1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;408.073333333333
1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;518.8
1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;439.106666666667
1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;445.486666666667
1;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;447.646666666667
1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;516.586666666667
1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;509.803333333333
1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;383.26
1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;381.403333333333
1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;310.793333333333
1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;428.026666666667
1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;421.113333333333
1;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0;365.903333333333
1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;433.913333333333
1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;425.873333333333
1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;369.616666666667
