no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;1;683.543333333333
1;1;0;0;0;1;1;1;1;0;0;1;1;0;0;1;561.97
1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;249.73
1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;645.38
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;244.276666666667
1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;712.636666666667
1;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;493.276666666667
1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;628.756666666667
1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;705.396666666667
1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;616.686666666667
1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;610.686666666667
1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;1;807
1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;773.22
1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;672.413333333333
1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;652.653333333333
1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;672.213333333333
1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;1;510.016666666667
1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;575.7
1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;744.893333333333
1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;744.26
1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;821.756666666667
1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;627.5
1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;706.59
1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;608.68
1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;775.663333333333
1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;775.54
1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;561.743333333333
