Run;Error
1;11.5692645731043
2;11.344832419811
3;11.4664141642258
4;12.1237079798375
5;11.6925766072008
6;11.7153044658677
7;11.853470081521
8;11.1727517710754
9;11.5752184170471
10;11.9921663345733
11;11.2275284082496
12;12.3567646611248
13;11.4635994451064
14;11.6173676852161
15;11.4133689707946
16;10.2509403177442
17;10.7869999672991
18;10.2478226722188
19;11.0846077136771
20;11.1046815872168
21;10.6794624837601
22;10.5110478374918
23;11.5369283331043
24;11.4523200383155
25;11.5474847238194
26;11.7733932874999
27;11.1894868154969
28;11.7768449222012
29;11.483707463568
30;11.0532841993725
31;11.5492126087935
32;11.1718736316322
33;11.3387694162671
34;11.0838296661359
35;10.7552198883892
36;11.8814142604883
37;11.479784865823
38;10.4596525026076
39;11.6595310242479
40;11.3826810530643
41;10.4322625591038
42;11.1697693992845
43;11.2579074501086
44;10.2784911815317
45;11.6627937671202
46;11.5933216008255
47;11.6737296824613
48;11.2896128686157
49;10.78752976652
50;11.3825811618898
51;11.3244771700018
52;11.6117289115159
53;10.4903709798175
54;10.9135589761676
55;11.4146067016308
56;11.1399331822578
57;11.8753877559215
58;12.0335511957442
59;11.2428197202605
60;10.919669017207
61;11.3648023851996
62;11.1651546275499
63;11.5010206790592
64;11.3457823410206
65;12.2814834772446
66;10.7541991686752
67;11.7117225537413
68;11.4426424451639
69;11.9732615854743
70;11.8330666090935
71;11.5676324797097
72;11.1709006454842
73;11.5391441599843
74;11.3443129536413
75;10.1935637082389
76;11.3599037834268
77;11.3216185658969
78;10.1463689438701
79;11.4185549747057
80;11.497407931756
81;11.2870308213119
82;11.1011709866
83;11.8735006762619
84;11.5763859569213
85;11.4070083373019
86;11.0778249307616
87;11.5428772893701
88;11.2040381127139
89;11.4588997831298
90;11.3972369303854
91;11.2661582474549
92;11.4952113149095
93;11.2670937494905
94;11.5592394443077
95;9.84338778759351
96;11.2901184026617
97;11.3887819710787
98;11.9310102916514
99;11.460906468154
100;11.3943149364035
